Student_ID,Study_Hours_Per_Day,Attendance_Rate_Percentage,Sleep_Hours_Per_Day,Extracurricular_Hours_Per_Week,Stress_Level,Exam_Score,Passed
STU_0039,1.77,58,6.97,8,High,59.92,Yes
STU_0040,3.25,71,4.88,1,High,73.29,Yes
STU_0041,4.04,79,6.17,12,High,90.74,Yes
STU_0042,3.22,59,6.51,12,High,81.03,Yes
STU_0043,2.87,70,6.37,6,High,61.77,Yes
STU_0044,2.66,60,7.18,6,High,72.0,Yes
STU_0045,1.66,55,6.01,3,High,65.56,Yes
STU_0046,2.25,66,8.35,8,Moderate,63.98,Yes
STU_0047,2.5,65,7.0,7,High,75.11,Yes
STU_0048,4.59,55,6.99,11,High,100.0,Yes
STU_0049,3.45,75,6.61,0,High,81.17,Yes
STU_0050,1.48,66,7.19,1,High,62.75,Yes
STU_0051,3.42,58,7.99,12,Moderate,70.7,Yes
STU_0052,2.58,63,5.96,14,High,71.15,Yes
STU_0053,2.29,63,6.21,12,High,70.48,Yes
STU_0054,3.84,67,6.64,1,Moderate,85.06,Yes
STU_0055,4.54,63,5.38,11,High,81.14,Yes
STU_0056,4.36,62,6.02,11,Moderate,88.85,Yes
STU_0057,2.15,58,6.43,10,High,75.6,Yes
STU_0058,2.65,69,8.05,14,High,75.79,Yes
STU_0059,3.43,68,7.32,14,Moderate,87.4,Yes
STU_0060,4.44,64,7.23,7,High,86.7,Yes
STU_0061,2.48,66,8.02,14,High,75.6,Yes
STU_0062,2.79,40,6.84,0,High,67.13,Yes
STU_0063,1.93,66,7.47,3,High,56.49,Yes
STU_0064,1.86,43,6.88,9,High,59.05,Yes
STU_0065,4.16,63,7.32,11,Moderate,77.57,Yes
STU_0066,5.17,61,6.3,4,High,89.94,Yes
STU_0067,2.92,51,4.07,8,High,71.01,Yes
STU_0068,4.49,77,6.84,6,High,95.38,Yes
STU_0069,3.47,60,8.71,7,High,68.19,Yes
STU_0070,2.32,62,8.11,13,High,75.23,Yes
STU_0071,3.47,63,8.16,10,Moderate,83.18,Yes
STU_0072,5.56,76,8.48,8,High,97.76,Yes
STU_0073,2.96,62,7.11,12,High,60.9,Yes
STU_0074,5.62,62,7.24,6,High,98.64,Yes
STU_0075,1.05,62,6.26,4,High,50.53,Yes
STU_0076,4.17,62,6.62,12,High,86.21,Yes
STU_0077,3.11,49,7.74,14,High,67.9,Yes
STU_0078,2.67,57,8.44,4,High,52.74,Yes
STU_0079,3.12,74,6.83,9,High,75.29,Yes
STU_0080,1.36,62,6.46,10,High,54.76,Yes
STU_0081,2.75,58,7.0,5,High,74.97,Yes
STU_0082,3.47,61,7.72,4,High,72.41,Yes
STU_0083,5.43,69,5.27,12,Moderate,100.0,Yes
STU_0084,2.44,76,4.24,11,High,56.91,Yes
STU_0085,2.17,61,6.34,10,High,75.49,Yes
STU_0086,2.46,63,5.54,8,High,66.71,Yes
STU_0087,4.33,75,6.39,2,High,97.68,Yes
STU_0088,3.43,65,6.82,2,High,79.44,Yes
STU_0089,2.43,57,6.46,14,Moderate,75.52,Yes
STU_0090,3.69,63,8.74,6,High,77.7,Yes
STU_0091,3.12,61,7.39,6,Moderate,65.71,Yes
STU_0092,4.43,67,7.36,5,High,100.0,Yes
STU_0093,2.27,64,7.75,2,High,65.99,Yes
STU_0094,2.64,60,5.63,13,High,71.17,Yes
STU_0095,2.57,66,8.25,12,High,80.38,Yes
STU_0096,1.67,56,6.91,6,High,50.24,Yes
STU_0097,3.38,64,7.8,4,High,82.76,Yes
STU_0098,3.33,47,5.71,6,High,67.68,Yes
STU_0099,3.01,69,5.14,1,High,74.74,Yes
STU_0100,2.74,63,7.98,5,High,71.88,Yes
STU_0101,1.71,64,7.45,13,High,49.3,Yes
STU_0102,2.54,40,5.92,7,High,56.17,Yes
STU_0103,2.62,77,5.96,0,High,85.11,Yes
STU_0104,2.18,57,8.35,3,High,70.99,Yes
STU_0105,2.82,70,5.57,10,High,73.7,Yes
STU_0106,3.53,55,8.97,0,High,78.74,Yes
STU_0107,6.39,80,5.92,13,Moderate,100.0,Yes
STU_0108,3.22,54,7.77,0,High,84.25,Yes
STU_0109,3.33,58,6.61,9,High,74.1,Yes
STU_0110,2.92,76,7.72,11,Moderate,78.85,Yes
STU_0111,1.39,54,6.35,13,High,64.27,Yes
STU_0112,2.97,63,6.8,13,High,67.38,Yes
STU_0113,3.08,69,7.05,10,High,88.97,Yes
STU_0114,8.05,86,5.8,7,Moderate,100.0,Yes
STU_0115,2.78,62,7.89,6,High,84.44,Yes
STU_0116,3.39,66,6.38,11,High,75.72,Yes
STU_0117,2.96,81,6.73,9,High,76.96,Yes
STU_0118,1.88,57,5.81,12,High,45.78,Yes
STU_0119,4.75,70,4.0,0,High,89.86,Yes
STU_0120,4.06,74,6.77,10,High,79.48,Yes
STU_0121,4.12,75,9.9,13,High,83.84,Yes
STU_0122,2.09,67,7.94,12,High,64.9,Yes
STU_0123,5.27,76,6.98,1,High,100.0,Yes
STU_0124,1.71,47,6.68,3,High,57.86,Yes
STU_0125,3.8,78,7.03,0,High,88.86,Yes
STU_0126,7.22,69,7.66,2,High,100.0,Yes
STU_0127,2.02,60,5.58,7,Moderate,56.15,Yes
STU_0128,2.4,53,8.34,7,High,79.29,Yes
STU_0129,3.13,62,7.86,7,High,69.02,Yes
STU_0130,2.46,62,7.86,5,High,81.45,Yes
STU_0131,1.62,59,7.53,5,High,56.96,Yes
STU_0132,3.09,65,7.02,4,High,75.42,Yes
STU_0133,1.96,70,7.81,12,Moderate,74.16,Yes
STU_0134,3.63,68,7.71,8,High,91.88,Yes
STU_0135,2.08,56,6.58,3,High,61.71,Yes
STU_0136,5.58,80,6.31,9,High,100.0,Yes
STU_0137,2.2,68,7.12,14,High,66.95,Yes
STU_0138,2.64,50,8.86,11,High,69.1,Yes
STU_0139,4.16,71,5.51,11,High,95.03,Yes
STU_0140,1.84,62,5.24,11,High,62.03,Yes
STU_0141,3.29,60,7.2,6,High,80.85,Yes
STU_0142,5.07,81,7.06,0,Moderate,100.0,Yes
STU_0143,1.58,55,7.21,14,High,60.35,Yes
STU_0144,3.23,63,7.29,8,High,78.69,Yes
STU_0145,3.33,61,6.73,6,High,64.45,Yes
STU_0146,4.11,66,8.79,9,High,64.85,Yes
STU_0147,1.83,48,5.08,11,High,60.81,Yes
STU_0148,1.77,45,6.01,8,High,55.44,Yes
STU_0149,3.7,77,6.88,6,High,80.98,Yes
STU_0150,3.38,56,5.03,1,Moderate,77.55,Yes
STU_0151,3.32,55,6.79,14,High,74.22,Yes
STU_0152,3.45,46,8.99,5,High,82.32,Yes
STU_0153,2.29,54,7.03,9,Moderate,64.79,Yes
STU_0154,3.3,52,7.28,11,High,67.62,Yes
STU_0155,3.38,76,5.49,10,Moderate,89.52,Yes
STU_0156,2.26,67,6.26,3,Moderate,65.96,Yes
STU_0157,6.34,69,6.55,2,Moderate,100.0,Yes
STU_0158,3.63,82,6.62,1,High,82.08,Yes
STU_0159,1.87,65,8.54,5,High,58.0,Yes
STU_0160,3.91,63,7.67,7,High,83.67,Yes
STU_0161,2.03,40,5.67,5,High,57.4,Yes
STU_0162,4.12,84,7.3,8,High,95.24,Yes
STU_0163,4.78,58,7.6,13,Moderate,88.05,Yes
STU_0164,2.16,45,8.37,4,High,45.41,Yes
STU_0165,4.42,75,8.9,1,Moderate,88.24,Yes
STU_0166,3.54,83,5.78,7,Moderate,91.65,Yes
STU_0167,4.17,77,6.03,8,High,87.42,Yes
STU_0168,6.42,80,5.49,13,High,100.0,Yes
STU_0169,2.72,65,6.72,9,High,79.59,Yes
STU_0170,2.22,65,7.56,3,High,61.0,Yes
STU_0171,2.1,64,8.18,5,High,52.86,Yes
STU_0172,2.17,60,6.91,14,High,63.41,Yes
STU_0173,2.91,62,6.62,10,Moderate,68.83,Yes
STU_0174,3.44,63,7.18,9,High,70.57,Yes
STU_0175,3.36,57,6.0,7,Moderate,74.3,Yes
STU_0176,4.18,64,9.51,8,Moderate,89.93,Yes
STU_0177,3.02,48,5.07,11,Moderate,69.53,Yes
STU_0178,5.37,70,7.22,4,Moderate,100.0,Yes
STU_0179,2.7,52,9.43,11,High,82.11,Yes
STU_0180,8.92,76,7.01,5,Moderate,100.0,Yes
STU_0181,3.86,66,6.77,10,High,85.63,Yes
STU_0182,2.13,69,6.57,3,High,62.93,Yes
STU_0183,1.96,65,6.78,4,High,57.33,Yes
STU_0184,3.64,51,8.65,6,High,72.02,Yes
STU_0185,2.75,53,4.35,8,High,64.57,Yes
STU_0186,4.0,73,8.84,9,High,89.78,Yes
STU_0187,3.63,56,5.29,10,Moderate,96.89,Yes
STU_0188,2.92,59,6.68,12,High,66.17,Yes
STU_0189,2.14,62,6.48,5,High,61.67,Yes
STU_0190,1.64,48,7.71,13,High,55.3,Yes
STU_0191,2.51,60,5.08,5,High,71.27,Yes
STU_0192,4.23,56,7.55,7,High,86.21,Yes
STU_0193,3.27,58,9.43,10,High,85.37,Yes
STU_0194,1.83,59,5.36,3,High,41.59,Yes
STU_0195,3.22,50,7.23,2,Moderate,53.1,Yes
STU_0196,3.5,67,6.21,13,Moderate,76.13,Yes
STU_0197,2.11,58,7.51,6,High,72.28,Yes
STU_0198,3.19,67,7.02,4,Moderate,64.47,Yes
STU_0199,3.07,64,6.23,1,High,50.84,Yes
STU_0200,1.9,68,7.59,1,High,68.97,Yes
STU_0201,3.47,64,9.17,10,High,80.85,Yes
STU_0202,3.76,61,6.77,5,High,72.18,Yes
STU_0203,4.63,69,7.86,7,High,84.12,Yes
STU_0204,4.58,72,5.45,0,High,84.64,Yes
STU_0205,1.73,57,5.85,14,High,60.28,Yes
STU_0206,2.06,58,7.57,10,High,57.99,Yes
STU_0207,3.69,59,8.78,5,Moderate,83.55,Yes
STU_0208,3.69,59,7.43,11,High,56.76,Yes
STU_0209,3.69,53,6.62,1,High,70.95,Yes
STU_0210,12.0,100,7.0,1,Moderate,100.0,Yes
STU_0211,3.77,55,5.5,6,High,77.15,Yes
STU_0212,4.73,63,7.73,9,Moderate,86.9,Yes
STU_0213,4.4,61,8.06,0,High,93.68,Yes
STU_0214,3.9,72,6.46,5,High,70.73,Yes
STU_0215,2.65,58,6.44,13,High,69.26,Yes
STU_0216,4.07,76,7.32,6,High,92.97,Yes
STU_0217,2.21,53,6.48,13,Moderate,77.85,Yes
STU_0218,2.73,63,6.92,7,High,67.35,Yes
STU_0219,2.47,53,9.52,6,High,68.2,Yes
STU_0220,3.1,79,6.7,5,High,65.27,Yes
STU_0221,7.58,70,6.57,8,Moderate,100.0,Yes
STU_0222,1.42,58,6.22,12,High,63.36,Yes
STU_0223,3.95,70,7.89,2,High,85.46,Yes
STU_0224,1.58,59,6.78,10,High,67.93,Yes
STU_0225,2.49,58,6.22,5,High,56.31,Yes
STU_0226,4.64,67,8.59,3,Moderate,95.66,Yes
STU_0227,3.08,62,8.7,1,High,89.35,Yes
STU_0228,1.95,56,6.28,0,High,64.66,Yes
STU_0229,2.26,66,4.76,11,High,69.61,Yes
STU_0230,3.94,83,8.21,11,High,89.37,Yes
STU_0231,2.24,54,6.18,13,High,51.03,Yes
STU_0232,3.28,52,7.95,0,Moderate,84.24,Yes
STU_0233,3.06,61,4.64,10,Moderate,69.01,Yes
STU_0234,2.31,79,8.07,9,High,75.84,Yes
STU_0235,7.08,71,5.55,2,Moderate,100.0,Yes
STU_0236,3.87,78,7.88,3,High,77.66,Yes
STU_0237,1.34,68,7.02,1,High,70.28,Yes
STU_0238,3.24,58,5.86,12,Moderate,72.02,Yes
STU_0239,2.31,63,6.51,11,High,78.63,Yes
STU_0240,4.22,79,7.82,10,High,90.27,Yes
STU_0241,2.19,55,7.13,10,High,48.66,Yes
STU_0242,2.87,59,7.7,13,High,78.54,Yes
STU_0243,3.68,60,9.37,10,Moderate,75.08,Yes
STU_0244,4.25,58,5.12,0,High,90.49,Yes
STU_0245,1.86,52,8.94,3,High,59.4,Yes
STU_0246,2.63,50,7.13,14,High,53.96,Yes
STU_0247,2.48,60,5.92,6,High,69.11,Yes
STU_0248,2.31,53,5.4,9,High,81.57,Yes
STU_0249,6.09,76,6.77,10,High,100.0,Yes
STU_0250,3.53,51,8.11,5,Moderate,75.14,Yes
STU_0251,1.81,59,6.85,5,High,69.4,Yes
STU_0252,4.34,74,8.81,10,High,92.29,Yes
STU_0253,7.02,62,5.26,8,High,100.0,Yes
STU_0254,4.54,71,6.99,13,High,82.97,Yes
STU_0255,1.64,66,5.5,14,High,63.07,Yes
STU_0256,2.48,50,7.44,1,High,73.08,Yes
STU_0257,4.99,83,8.06,3,Moderate,93.11,Yes
STU_0258,2.26,62,6.5,4,High,77.6,Yes
STU_0259,3.59,58,4.0,0,High,77.57,Yes
STU_0260,4.1,65,7.24,7,High,78.4,Yes
STU_0261,2.07,62,7.52,7,High,72.28,Yes
STU_0262,2.93,62,7.49,5,High,70.61,Yes
STU_0263,0.82,57,8.48,11,High,56.38,Yes
STU_0264,1.99,50,5.71,4,High,57.57,Yes
STU_0265,2.72,62,7.82,7,High,70.32,Yes
STU_0266,1.82,45,8.43,2,High,60.65,Yes
STU_0267,5.77,72,4.87,2,Moderate,100.0,Yes
STU_0268,1.7,49,7.38,1,High,40.74,Yes
STU_0269,2.52,54,6.39,4,High,57.43,Yes
STU_0270,3.17,72,6.9,2,High,85.74,Yes
STU_0271,5.35,80,7.42,2,Moderate,100.0,Yes
STU_0272,1.69,61,6.42,14,High,56.01,Yes
STU_0273,4.78,60,6.19,5,High,79.93,Yes
STU_0274,3.02,59,7.04,7,High,64.26,Yes
STU_0275,2.03,67,5.7,1,High,49.23,Yes
STU_0276,3.61,65,5.7,3,High,79.79,Yes
STU_0277,3.25,81,7.82,10,High,77.01,Yes
STU_0278,2.36,62,5.62,6,High,59.47,Yes
STU_0279,3.09,63,7.8,0,High,74.26,Yes
STU_0280,2.58,57,7.56,0,High,70.81,Yes
STU_0281,3.14,63,4.93,11,High,92.05,Yes
STU_0282,3.92,64,6.19,12,High,71.3,Yes
STU_0283,5.67,78,8.43,9,Low,100.0,Yes
STU_0284,1.83,64,5.82,6,High,70.28,Yes
STU_0285,7.05,71,6.44,13,Moderate,100.0,Yes
STU_0286,1.38,44,7.55,6,High,53.63,Yes
STU_0287,2.83,46,7.94,0,High,63.44,Yes
STU_0288,3.8,69,6.7,0,High,85.19,Yes
STU_0289,3.36,54,6.28,3,High,86.87,Yes
STU_0290,2.34,42,8.71,4,High,65.84,Yes
STU_0291,2.76,64,9.09,4,High,75.87,Yes
STU_0292,2.47,79,8.17,3,Moderate,69.96,Yes
STU_0293,2.37,59,7.1,7,High,54.53,Yes
STU_0294,4.22,73,6.03,6,High,87.43,Yes
STU_0295,3.47,64,6.0,8,Moderate,88.55,Yes
STU_0296,2.28,58,7.63,6,High,52.98,Yes
STU_0297,4.31,74,7.5,14,High,81.86,Yes
STU_0298,3.4,61,8.68,9,Moderate,78.31,Yes
STU_0299,4.16,68,7.78,0,Moderate,79.12,Yes
STU_0300,3.86,68,5.2,12,High,77.66,Yes
STU_0301,2.16,53,8.26,13,High,59.11,Yes
STU_0302,2.4,67,5.8,6,High,58.18,Yes
STU_0303,4.05,64,6.54,0,High,76.91,Yes
STU_0304,3.83,59,7.3,6,Moderate,86.63,Yes
STU_0305,2.98,66,9.39,9,High,64.14,Yes
STU_0306,3.15,55,10.73,7,High,60.22,Yes
STU_0307,5.01,70,7.73,10,High,91.06,Yes
STU_0308,2.37,59,6.78,8,High,72.26,Yes
STU_0309,3.74,73,7.64,11,High,82.72,Yes
STU_0310,2.77,64,8.07,2,High,68.18,Yes
STU_0311,2.75,60,6.62,14,Moderate,70.85,Yes
STU_0312,4.66,75,9.15,3,High,80.13,Yes
STU_0313,4.18,77,7.28,3,High,93.86,Yes
STU_0314,4.16,71,7.6,11,Moderate,90.97,Yes
STU_0315,5.06,70,7.8,8,Moderate,93.33,Yes
STU_0316,3.03,51,7.51,12,High,78.65,Yes
STU_0317,3.95,57,8.01,6,High,72.58,Yes
STU_0318,2.65,58,6.26,2,High,77.92,Yes
STU_0319,3.42,58,6.33,9,High,77.84,Yes
STU_0320,2.85,59,5.68,4,High,68.51,Yes
STU_0321,3.12,62,7.53,6,High,74.64,Yes
STU_0322,3.81,69,7.93,7,Moderate,82.94,Yes
STU_0323,2.17,58,7.55,0,Moderate,73.86,Yes
STU_0324,6.94,81,9.01,11,Moderate,100.0,Yes
STU_0325,2.01,58,6.99,1,High,56.4,Yes
STU_0326,1.85,41,7.8,6,High,64.09,Yes
STU_0327,4.77,61,5.69,10,High,86.24,Yes
STU_0328,4.12,65,6.54,14,High,92.9,Yes
STU_0329,3.86,55,7.83,12,Moderate,93.7,Yes
STU_0330,3.86,70,8.02,13,High,81.39,Yes
STU_0331,2.99,74,6.65,12,High,82.55,Yes
STU_0332,2.1,68,6.91,14,Moderate,57.17,Yes
STU_0333,3.1,60,5.18,1,High,80.04,Yes
STU_0334,2.29,71,6.57,6,High,70.8,Yes
STU_0335,4.44,68,8.07,14,High,93.58,Yes
STU_0336,2.83,58,7.69,8,Moderate,65.54,Yes
STU_0337,2.16,53,7.6,10,Moderate,49.21,Yes
STU_0338,2.64,58,7.06,1,High,72.83,Yes
STU_0339,3.54,61,7.01,6,High,62.19,Yes
STU_0340,2.4,60,6.21,3,High,64.46,Yes
STU_0341,2.16,59,7.84,10,High,71.83,Yes
STU_0342,3.31,63,7.51,12,High,78.54,Yes
STU_0343,3.31,66,7.59,1,Moderate,93.49,Yes
STU_0344,2.45,69,6.37,12,High,78.4,Yes
STU_0345,2.49,67,4.42,6,High,64.77,Yes
STU_0346,3.3,51,8.32,12,High,73.52,Yes
STU_0347,1.68,40,6.43,4,High,53.42,Yes
STU_0348,1.71,64,5.96,0,High,48.64,Yes
STU_0349,2.25,48,7.83,4,High,54.38,Yes
STU_0350,2.76,59,6.53,11,High,65.81,Yes
STU_0351,3.4,54,8.27,11,High,58.91,Yes
STU_0352,5.42,57,7.74,2,Moderate,96.68,Yes
STU_0353,4.23,71,7.82,6,High,86.61,Yes
STU_0354,2.82,67,5.36,5,High,59.92,Yes
STU_0355,2.98,57,8.45,7,High,75.13,Yes
STU_0356,2.01,40,7.31,12,High,62.83,Yes
STU_0357,2.98,57,6.56,4,High,73.72,Yes
STU_0358,2.68,63,7.17,1,Moderate,68.11,Yes
STU_0359,3.42,51,4.87,8,High,79.23,Yes
STU_0360,2.16,60,7.49,13,High,70.04,Yes
STU_0361,3.7,64,5.76,10,Moderate,83.66,Yes
STU_0362,5.55,76,5.38,7,Moderate,96.7,Yes
STU_0363,2.88,62,5.17,5,Moderate,74.61,Yes
STU_0364,3.53,56,8.34,12,Moderate,86.66,Yes
STU_0365,3.96,75,6.24,9,Moderate,82.33,Yes
STU_0366,2.56,58,8.84,6,High,84.78,Yes
STU_0367,3.29,62,6.36,8,High,72.29,Yes
STU_0368,3.02,54,4.95,6,High,71.66,Yes
STU_0369,3.12,58,5.66,2,High,68.22,Yes
STU_0370,2.21,51,8.48,5,High,64.19,Yes
STU_0371,3.03,60,6.81,10,High,59.36,Yes
STU_0372,3.67,78,6.34,12,Moderate,80.73,Yes
STU_0373,5.37,60,7.19,10,High,87.96,Yes
STU_0374,4.41,54,7.6,6,High,86.38,Yes
STU_0375,7.11,90,8.34,1,Low,100.0,Yes
STU_0376,2.21,57,8.74,2,High,69.37,Yes
STU_0377,4.26,61,6.57,3,High,66.93,Yes
STU_0378,3.23,71,5.41,9,Moderate,94.94,Yes
STU_0379,7.21,73,6.5,5,High,100.0,Yes
STU_0380,2.17,73,7.31,0,High,62.39,Yes
STU_0381,2.15,64,5.84,8,High,66.96,Yes
STU_0382,2.36,55,5.85,4,High,66.51,Yes
STU_0383,1.28,72,7.41,12,High,54.07,Yes
STU_0384,2.43,54,6.94,11,High,67.08,Yes
STU_0385,2.22,64,7.04,13,High,61.54,Yes
STU_0386,3.19,65,6.09,6,High,73.17,Yes
STU_0387,3.44,74,6.72,8,High,76.11,Yes
STU_0388,6.36,87,5.89,8,Moderate,100.0,Yes
STU_0389,4.39,67,8.07,0,High,90.17,Yes
STU_0390,2.39,53,8.24,14,High,69.48,Yes
STU_0391,2.1,62,4.78,0,Moderate,68.72,Yes
STU_0392,3.66,59,5.88,2,Moderate,85.86,Yes
STU_0393,1.77,73,5.2,5,High,67.19,Yes
STU_0394,6.25,76,6.22,1,Moderate,100.0,Yes
STU_0395,4.82,66,6.9,9,High,99.72,Yes
STU_0396,2.49,61,5.26,11,Moderate,57.34,Yes
STU_0397,1.51,45,5.89,10,High,46.39,Yes
STU_0398,5.16,62,5.8,0,High,87.49,Yes
STU_0399,2.87,71,7.25,0,High,83.64,Yes
STU_0400,4.93,64,7.08,12,Moderate,100.0,Yes
STU_0401,1.59,47,6.13,4,High,58.9,Yes
STU_0402,2.36,63,7.21,3,High,76.08,Yes
STU_0403,3.01,71,6.34,0,High,69.37,Yes
STU_0404,3.06,67,6.67,3,High,78.49,Yes
STU_0405,2.51,68,9.01,2,High,69.5,Yes
STU_0406,3.85,59,8.61,1,Moderate,87.98,Yes
STU_0407,1.96,46,5.44,8,High,57.48,Yes
STU_0408,2.84,73,8.0,13,High,72.22,Yes
STU_0409,3.15,60,7.97,14,High,78.83,Yes
STU_0410,3.69,62,5.62,10,High,87.51,Yes
STU_0411,3.99,76,7.98,0,Moderate,82.35,Yes
STU_0412,1.92,62,8.85,6,High,62.31,Yes
STU_0413,1.63,60,5.65,13,High,50.83,Yes
STU_0414,5.01,87,5.9,12,Moderate,81.22,Yes
STU_0415,3.43,58,8.22,3,High,78.3,Yes
STU_0416,2.23,66,7.33,4,High,71.97,Yes
STU_0417,5.59,72,7.66,9,High,100.0,Yes
STU_0418,3.15,64,7.41,4,High,60.1,Yes
STU_0419,4.81,81,7.47,0,Moderate,94.59,Yes
STU_0420,3.09,66,5.41,5,High,57.95,Yes
STU_0421,6.85,81,8.26,12,Moderate,100.0,Yes
STU_0422,6.06,82,8.4,8,Moderate,100.0,Yes
STU_0423,2.72,57,6.72,1,High,79.34,Yes
STU_0424,4.43,61,6.95,6,High,95.17,Yes
STU_0425,3.89,57,5.16,5,Moderate,73.8,Yes
STU_0426,5.19,55,7.62,4,High,84.34,Yes
STU_0427,2.04,74,7.69,3,High,70.4,Yes
STU_0428,3.95,56,6.93,3,High,74.55,Yes
STU_0429,4.59,66,8.35,5,High,91.52,Yes
STU_0430,1.49,53,6.6,3,High,51.94,Yes
STU_0431,1.87,59,7.68,4,High,47.15,Yes
STU_0432,1.33,61,5.78,12,High,38.76,No
STU_0433,2.7,67,6.97,5,High,73.91,Yes
STU_0434,4.0,61,6.79,4,High,78.81,Yes
STU_0435,5.48,70,7.27,6,High,96.38,Yes
STU_0436,3.09,64,6.56,8,High,80.67,Yes
STU_0437,5.76,71,6.84,9,High,100.0,Yes
STU_0438,1.73,69,7.99,6,High,60.82,Yes
STU_0439,1.52,60,6.48,6,High,55.48,Yes
STU_0440,2.94,67,5.07,3,High,78.5,Yes
STU_0441,3.5,69,9.1,0,High,69.84,Yes
STU_0442,2.97,71,8.66,13,High,77.79,Yes
STU_0443,1.31,56,5.45,7,High,59.32,Yes
STU_0444,2.9,51,7.83,3,High,74.74,Yes
STU_0445,1.78,60,6.4,0,High,45.31,Yes
STU_0446,3.93,60,7.32,4,Moderate,76.21,Yes
STU_0447,3.48,59,7.35,13,High,70.47,Yes
STU_0448,2.06,62,6.72,13,High,65.0,Yes
STU_0449,2.45,69,6.06,7,High,74.05,Yes
STU_0450,1.97,58,6.17,3,High,74.07,Yes
STU_0451,2.93,64,5.9,12,High,69.54,Yes
STU_0452,4.4,81,6.0,11,Moderate,89.32,Yes
STU_0453,2.03,60,6.92,7,High,72.5,Yes
STU_0454,3.68,85,6.14,7,High,89.67,Yes
STU_0455,2.43,64,7.82,2,Moderate,78.64,Yes
STU_0456,2.19,44,8.78,8,High,62.41,Yes
STU_0457,2.88,67,6.3,2,High,64.64,Yes
STU_0458,1.99,61,7.29,0,High,52.53,Yes
STU_0459,2.41,69,7.6,1,High,57.39,Yes
STU_0460,1.86,62,7.57,14,High,67.5,Yes
STU_0461,6.59,75,7.09,5,High,100.0,Yes
STU_0462,3.05,52,7.89,11,High,85.89,Yes
STU_0463,2.27,57,7.58,9,High,71.54,Yes
STU_0464,3.27,56,5.51,1,High,83.8,Yes
STU_0465,2.87,56,8.04,5,High,65.86,Yes
STU_0466,2.75,65,8.06,13,Moderate,62.75,Yes
STU_0467,3.84,78,6.08,0,High,93.6,Yes
STU_0468,4.07,69,7.05,10,High,89.74,Yes
STU_0469,2.43,50,7.82,12,High,65.16,Yes
STU_0470,2.39,63,6.75,0,High,70.9,Yes
STU_0471,2.69,70,8.29,4,High,75.49,Yes
STU_0472,1.2,49,9.84,9,High,61.97,Yes
STU_0473,1.64,55,6.06,12,High,68.26,Yes
STU_0474,5.19,70,5.34,10,Moderate,100.0,Yes
STU_0475,5.8,66,7.36,8,Moderate,100.0,Yes
STU_0476,2.72,66,7.87,13,Moderate,76.11,Yes
STU_0477,3.78,64,6.72,7,High,78.31,Yes
STU_0478,3.4,66,8.74,2,Moderate,84.85,Yes
STU_0479,10.29,84,5.39,14,Moderate,100.0,Yes
STU_0480,4.7,65,7.83,2,High,99.93,Yes
STU_0481,2.85,67,6.27,14,High,64.04,Yes
STU_0482,2.05,55,9.06,0,Moderate,64.29,Yes
